sortid,genelist,drdist,FC,pValues,pAdjusted
382,BCAS4,7.6495813455516e-12,726.760375363388,4.53563986716999e-160,1.71991463763086e-156
1044,ENO3,3.72854337649093e-12,354.236063576604,5.06631693963545e-79,9.60573691754881e-76
103,AD000091.1,3.44645054104164e-12,327.435394923323,3.47830994067851e-73,4.39658376501764e-70
1616,JSRP1,3.3693101983654e-12,320.10655666845,1.37306438719802e-71,1.30166503906373e-68
3059,SNX32,3.06692002524478e-12,291.377507875323,2.49122084038257e-65,1.88934188534614e-62
314,ATG10,2.59379031291222e-12,246.427083558268,1.56095261147607e-55,9.86522050452873e-53
2130,NOP16,1.61112235512714e-12,153.067185598261,3.70330611891853e-35,2.00613382899129e-32
755,CR759762.1,1.59529518752875e-12,151.563500919958,7.89272659265846e-35,3.74115240492011e-32
3038,SMPD4,1.5855988563252e-12,150.642285890427,1.25479637907123e-34,5.28687541048679e-32
394,BEST1,1.53212913208628e-12,145.562311562021,1.61818163898203e-33,6.13614477501988e-31
1627,KCP,1.12889747021098e-12,107.252660261521,3.9188425122146e-25,1.35093189148343e-22
754,CR388220.1,9.87735359034919e-13,93.8413342985564,3.41857757792794e-22,1.08027051462523e-19
924,DNAJC17,9.00535139751312e-13,85.5567418175343,2.25147346588653e-20,6.56737490972439e-18
12,ABCB9,8.65217131079248e-13,82.2012994632252,1.22909040758133e-19,3.32907916110601e-17
1038,EME2,7.43311509186711e-13,70.6194662198872,4.33221180104297e-17,1.09518314330366e-14
1652,KIFC1,7.25962603337403e-13,68.9712064318507,9.99115343922546e-17,2.36790336509643e-14
174,AL671277.1,5.62442951779033e-13,53.4357675656493,2.67187595316929e-13,5.95985506730467e-11
3532,UBXN11,5.60857462475329e-13,53.2851356879761,2.88481188763533e-13,6.07733704328509e-11
756,CR759790.1,4.5087048759441e-13,42.8356520445315,5.95371559997585e-11,1.18823629237413e-08
173,AL669813.2,4.23640263136348e-13,40.2486022107678,2.23615280668501e-10,4.23974572147478e-08
430,BX005428.2,3.83547349343412e-13,36.4395125676451,1.57478182243686e-09,2.84360603365742e-07
406,BOLA2,3.50139354048866e-13,33.2655340054691,8.0394968177191e-09,1.38571690603595e-06
2474,PPT1,2.65315732611147e-13,25.2067338998126,5.15020592373793e-07,8.49112211426706e-05
2914,SH3D19,2.46581687630542e-13,23.4268768138955,1.29752980937334e-06,0.000205009709880987
2228,OR7C1,2.25744387135032e-13,21.447196665977,3.63707373080667e-06,0.000551671343488756
1888,MFSD11,2.11597429096094e-13,20.1031429105898,7.33759982733537e-06,0.00107016071327907
1189,FKBP15,1.64811135367098e-13,15.6581382944718,7.58853218791738e-05,0.0106576718728084
515,CATSPER2P1,8.18046880218939e-14,7.77198164025661,0.00530628055732891,0.718621995478258
31,AC007318.3,5.52930380217042e-14,5.253201090672,0.0219064351081026,0.999999999923338
3242,TBC1D31,1.65479690363129e-14,1.57216554018686,0.209892803302666,0.999999999923338
178,AL845454.2,1.44516830098879e-14,1.37300462528012,0.241296317628698,0.999999999923338
3057,SNX22,8.21634557544132e-15,0.78060669267809,0.376955655818106,0.999999999923338
